0,1,2
1.,Basis for tax liability,1
2.,Who is a resident?,1
3.,Who is a non-resident?,2
4.,Categories of residents,3
5.,"Who is a resident but not ordinarily
resident?",3
6.,Extent of tax liability,4
7.,"Tax liability of a resident on his foreign
income",5
8.,"Tax liability on foreign Income of a person
not ordinarily resident",6
9.,Business Connection,10
10.,Royalty,18
11.,Fees for Technical Services,19
12.,"Tax reliefs on the foreign income of the
residents",19
13.,Salaries,20
14.,"Exemption on the allowances Paid by
the government [section 10(7)]",20
15.,"Exemption of foreign income of
persons assigned to duties in India
under cooperative technical assistance
programmes [section 10(8) and 10 (8B)]",20
